ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
PVD,4,2020,824,-0.407,-0.352,-788,36,-104.0,-68.0,,,-28,52,71,60,-0.576,0.535,,,,,,54.0
PVD,3,2020,1271,0.188,-0.135,-1192,79,-67.0,12.0,-0.711,,-29,54,38,39,0.433,-0.374,,,,,,111.0
PVD,2,2020,1469,0.463,-0.123,-1412,57,-68.0,-11.0,,,-29,69,56,62,-0.431,1.553,,,,,,95.0
PVD,1,2020,1675,0.842,0.205,-1518,157,-94.0,63.0,,1.614,-33,26,16,24,,-0.827,,,,,,225.0
PVD,4,2019,1390,-0.013,0.3,-1245,145,-120.0,24.0,-0.915,-0.406,-36,139,150,140,-0.636,4.183,,,,,,173.0
PVD,3,2019,1069,-0.198,0.065,-968,101,-61.0,41.0,-0.564,0.021,-39,30,17,27,-0.759,-0.751,,,,,,188.0
PVD,2,2019,1004,-0.38,0.104,-852,152,-112.0,40.0,,,-42,111,103,109,,,,,,,,187.0
PVD,1,2019,910,-0.177,-0.354,-858,51,-121.0,-70.0,,,-42,-85,-93,-87,,,,,,,,76.0
PVD,4,2018,1408,0.185,0.056,-1094,314,-29.0,285.0,,2.039,-40,439,402,386,0.521,2.432,,,,,,254.0
PVD,3,2018,1333,0.054,-0.177,-1257,76,18.0,94.0,,,-42,116,97,112,3.447,,,,,,,323.0
PVD,2,2018,1620,0.714,0.465,-1570,50,-122.0,-72.0,,,-42,-78,-79,-68,,,,,,,,146.0
PVD,1,2018,1106,1.198,-0.07,-1150,-45,-172.0,-217.0,,,-44,-248,-253,-239,,,,,,,,-25.0
PVD,4,2017,1188,0.465,-0.061,-1164,25,-138.0,-114.0,,,-47,336,276,254,6.424,9.035,,,,,,108.0
PVD,3,2017,1265,0.064,0.338,-1171,94,-137.0,-43.0,,,-50,75,16,25,1.548,,,,,,,202.0
PVD,2,2017,945,-0.467,0.879,-874,71,-128.0,-56.0,,,-50,-53,-66,-52,,,,,,,,150.0
PVD,1,2017,503,-0.681,-0.38,-511,-8,-182.0,-190.0,,,-47,-212,-214,-201,,,,,,,,-74.0
PVD,4,2016,811,-0.653,-0.318,-742,69,-100.0,-31.0,,,-58,54,25,34,-0.554,2.445,,,,,,126.0
